Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
2768,Mickey van de Ven,nl NED,DF,Wolfsburg,de Bundesliga,20,2001,2.1,0,0,0,0,2,0,2,9,3,0,0,0,16,8,1,88.9
2769,Unai Vencedor Paris,es ESP,MF,Athletic Club,es La Liga,20,2000,26.5,4,0,0,36,40,0,28,25,19,1,0,0,278,32,41,43.8
2770,Lorenzo Venuti,it ITA,DF,Fiorentina,it Serie A,26,1995,17.5,4,0,0,16,32,0,23,14,11,0,0,1,113,14,8,63.6
2771,Daniele Verde,it ITA,FWMF,Spezia,it Serie A,25,1996,21.7,2,0,0,2,16,12,59,30,5,0,0,0,106,3,3,50
2772,Simone Verdi,it ITA,FWMF,Salernitana,it Serie A,29,1992,9.2,3,0,0,12,23,1,29,4,8,0,0,0,62,7,14,33.3
2773,Simone Verdi,it ITA,FWMF,Torino,it Serie A,29,1992,0.5,0,0,0,1,1,1,3,1,2,0,0,0,6,1,1,50
2774,Gonzalo Verdú,es ESP,DF,Elche,es La Liga,32,1988,15.5,11,0,0,27,13,0,2,23,17,0,1,0,97,33,20,62.3
2775,Jordan Veretout,fr FRA,MF,Roma,it Serie A,28,1993,25.8,6,0,0,21,25,1,32,27,34,0,0,0,203,13,20,39.4
2776,Edoardo Vergani,it ITA,FWMF,Salernitana,it Serie A,20,2001,1.1,0,0,0,3,1,1,0,0,1,0,0,0,6,2,3,40
2777,Vincent Vermeij,nl NED,MF,Freiburg,de Bundesliga,26,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
2778,Marco Verratti,it ITA,MF,Paris S-G,fr Ligue 1,28,1992,21.5,12,0,0,41,55,1,6,25,48,0,0,1,162,7,14,33.3
2779,Valerio Verre,it ITA,MFFW,Sampdoria,it Serie A,27,1994,4.7,0,0,0,10,13,0,13,4,7,0,0,0,42,9,6,60
2780,Valerio Verre,it ITA,MFFW,Empoli,it Serie A,27,1994,3.4,2,1,0,9,3,0,3,3,6,0,0,0,28,0,9,0
2781,Freddie Veseli,al ALB,DF,Salernitana,it Serie A,28,1992,6.6,3,1,1,6,1,0,4,11,3,0,1,0,26,7,3,70
2782,Mikel Vesga,es ESP,MF,Athletic Club,es La Liga,28,1993,15.1,7,2,2,43,18,0,12,28,13,0,1,0,177,42,26,61.8
2783,Jannik Vestergaard,dk DEN,DF,Leicester City,eng Premier League,28,1992,6.3,2,0,0,6,1,0,0,15,11,0,1,0,47,16,11,59.3
2784,Rúben Vezo,pt POR,DF,Levante,es La Liga,27,1994,26.9,4,0,0,37,29,0,5,45,33,1,1,0,242,70,46,60.3
2785,Guglielmo Vicario,it ITA,GK,Empoli,it Serie A,24,1996,38,1,0,0,1,8,0,0,0,0,0,1,0,168,0,0,
2786,Aleix Vidal,es ESP,DFMF,Espanyol,es La Liga,31,1989,21.1,10,0,0,27,33,1,35,51,27,0,1,0,185,11,12,47.8
2787,Arturo Vidal,cl CHI,MF,Inter,it Serie A,34,1987,8.2,3,0,0,20,11,1,5,9,20,0,0,0,83,14,14,50
2788,Nacho Vidal,es ESP,DF,Osasuna,es La Liga,26,1995,32.2,9,0,0,55,35,3,50,59,43,1,2,0,305,79,39,66.9
2789,Gabriel Vidovic,hr CRO,MF,Bayern Munich,de Bundesliga,17,2003,0.4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0
2790,Ronaldo Vieira,gw GNB,MF,Sampdoria,it Serie A,23,1998,5.5,3,0,0,12,5,0,0,8,9,0,0,0,50,8,11,42.1
2791,Nick Viergever,nl NED,DF,Greuther Fürth,de Bundesliga,31,1989,23.7,2,0,0,14,7,0,1,56,29,0,0,0,212,34,42,44.7
2792,Luca Vignali,it ITA,DF,Spezia,it Serie A,25,1996,0.9,0,0,0,0,0,1,2,1,1,0,0,0,6,1,3,25
2793,Emanuel Vignato,it ITA,MFDF,Bologna,it Serie A,20,2000,6.6,2,0,0,5,4,0,14,3,11,0,0,0,60,4,9,30.8
2794,Dídac Vilà,es ESP,DFMF,Espanyol,es La Liga,32,1989,2.3,3,0,0,8,1,0,3,5,2,0,0,0,16,4,6,40
2795,Tonny Vilhena,nl NED,MFFW,Espanyol,es La Liga,26,1995,10.3,4,0,0,20,11,2,18,12,7,0,0,0,53,11,13,45.8
2796,Daniel Villahermosa,es ESP,MF,Espanyol,es La Liga,20,2001,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2797,Asier Villalibre,es ESP,FW,Athletic Club,es La Liga,23,1997,6.1,0,0,0,12,14,3,4,0,3,0,0,0,11,22,15,59.5
2798,Gonzalo Villar,es ESP,MF,Getafe,es La Liga,23,1998,3.3,0,0,0,12,13,0,0,3,5,0,0,0,35,6,5,54.5
2799,Matías Viña,uy URU,DF,Roma,it Serie A,23,1997,17.4,2,0,0,9,20,2,23,42,22,0,0,0,136,17,17,50
2800,Nicolas Viola,it ITA,MF,Bologna,it Serie A,31,1989,1.1,0,0,0,2,1,0,2,2,3,0,0,0,17,4,0,100
2801,Mattia Viti,it ITA,DF,Empoli,it Serie A,19,2002,16.6,3,1,1,15,15,1,0,36,24,0,0,1,134,32,42,43.2
2802,Vitolo,es ESP,MFFW,Getafe,es La Liga,31,1989,2.5,0,0,0,7,9,1,2,1,1,0,0,0,8,3,3,50
2803,Daniel Vivian,es ESP,DF,Athletic Club,es La Liga,22,1999,22.1,2,0,0,22,20,1,0,38,24,0,0,0,254,34,54,38.6
2804,Dušan Vlahović,rs SRB,FW,Juventus,it Serie A,21,2000,12,2,0,0,10,23,12,6,2,2,0,0,0,43,19,34,35.8
2805,Dušan Vlahović,rs SRB,FW,Fiorentina,it Serie A,21,2000,20.6,2,0,0,20,53,19,18,4,3,0,0,0,62,45,51,46.9
2806,Nikola Vlašić,hr CRO,FWMF,West Ham,eng Premier League,23,1997,6.2,0,0,0,9,19,3,15,10,11,0,0,0,44,6,11,35.3
2807,Andreas Voglsammer,de GER,FWMF,Union Berlin,de Bundesliga,29,1992,9.8,1,0,0,18,16,14,18,1,8,0,0,0,47,45,65,40.9
2808,Kevin Vogt,de GER,DF,Hoffenheim,de Bundesliga,29,1991,28.5,7,0,0,25,20,1,4,30,17,0,1,0,341,36,39,48
2809,Mërgim Vojvoda,xk KVX,DF,Torino,it Serie A,26,1995,22,3,0,0,28,11,1,63,28,16,0,0,0,178,33,29,53.2
2810,Kevin Volland,de GER,MFFW,Monaco,fr Ligue 1,29,1992,27.1,10,0,0,57,32,17,26,9,21,2,0,1,110,32,69,31.7
2811,Cristian Volpato,it ITA,MFFW,Roma,it Serie A,17,2003,0.4,0,0,0,1,1,0,0,0,0,0,0,0,6,0,3,0
2812,Aster Vranckx,be BEL,MF,Wolfsburg,de Bundesliga,18,2002,12.7,2,0,0,46,18,1,14,18,27,0,0,0,114,22,22,50
2813,Stefan de Vrij,nl NED,DF,Inter,it Serie A,29,1992,26.8,3,0,0,21,8,0,0,44,30,0,1,1,257,87,52,62.6
2814,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,es La Liga,29,1992,10.2,4,0,0,17,6,2,29,12,19,0,0,0,92,45,22,67.2
2815,Nikola Vukčević,me MNE,MF,Levante,es La Liga,29,1991,1.3,1,0,0,3,1,0,0,4,2,0,0,0,28,6,2,75
2816,Matěj Vydra,cz CZE,FW,Burnley,eng Premier League,29,1992,7.5,1,0,0,13,11,5,3,3,8,0,0,0,24,19,62,23.5
2817,Walace,br BRA,MF,Udinese,it Serie A,26,1995,33,6,1,0,55,38,1,9,86,66,0,1,0,366,27,30,47.4
2818,Theo Walcott,eng ENG,MFFW,Southampton,eng Premier League,32,1989,4.2,0,0,0,2,6,2,4,7,3,0,0,0,21,3,4,42.9
